database,description
geneontology_Biological_Process_noRedundant,transforming growth factor beta production
geneontology_Biological_Process_noRedundant,epidermis development
geneontology_Biological_Process_noRedundant,cellular ketone metabolic process
geneontology_Biological_Process_noRedundant,myeloid dendritic cell activation
geneontology_Biological_Process_noRedundant,reactive oxygen species metabolic process
geneontology_Biological_Process_noRedundant,tetrapyrrole metabolic process
geneontology_Biological_Process_noRedundant,response to tumor necrosis factor
geneontology_Biological_Process_noRedundant,response to bronchodilator
geneontology_Biological_Process_noRedundant,cellular response to lipoprotein particle stimulus
geneontology_Biological_Process_noRedundant,skeletal system morphogenesis
geneontology_Biological_Process_noRedundant,glycerolipid metabolic process
geneontology_Biological_Process_noRedundant,odontogenesis
geneontology_Biological_Process_noRedundant,mitochondrial gene expression
geneontology_Biological_Process_noRedundant,smoothened signaling pathway
geneontology_Biological_Process_noRedundant,regulation of animal organ morphogenesis
geneontology_Biological_Process_noRedundant,interleukin-12 production
geneontology_Biological_Process_noRedundant,ammonium ion metabolic process
geneontology_Biological_Process_noRedundant,kinetochore organization
geneontology_Biological_Process_noRedundant,cellular component assembly involved in morphogenesis
geneontology_Biological_Process_noRedundant,embryonic skeletal system development
geneontology_Biological_Process_noRedundant,actin filament organization
geneontology_Biological_Process_noRedundant,cofactor biosynthetic process
geneontology_Biological_Process_noRedundant,carbohydrate transport
geneontology_Biological_Process_noRedundant,organic acid biosynthetic process
geneontology_Biological_Process_noRedundant,cellular amino acid metabolic process
geneontology_Biological_Process_noRedundant,response to lipoprotein particle
geneontology_Biological_Process_noRedundant,inflammatory response to antigenic stimulus
geneontology_Biological_Process_noRedundant,lymphocyte mediated immunity
geneontology_Biological_Process_noRedundant,positive regulation of cell adhesion
geneontology_Biological_Process_noRedundant,lamellipodium organization
geneontology_Biological_Process_noRedundant,microtubule organizing center localization
geneontology_Biological_Process_noRedundant,response to mitochondrial depolarisation
geneontology_Biological_Process_noRedundant,regulation of small molecule metabolic process
geneontology_Biological_Process_noRedundant,negative regulation of catabolic process
geneontology_Biological_Process_noRedundant,leukocyte migration
geneontology_Biological_Process_noRedundant,digestive system development
geneontology_Biological_Process_noRedundant,histone mRNA metabolic process
geneontology_Biological_Process_noRedundant,response to amine
geneontology_Biological_Process_noRedundant,positive regulation of catabolic process
geneontology_Biological_Process_noRedundant,mating
geneontology_Biological_Process_noRedundant,positive regulation of cytokine production
geneontology_Biological_Process_noRedundant,activation of adenylate cyclase activity
geneontology_Biological_Process_noRedundant,adaptive thermogenesis
geneontology_Biological_Process_noRedundant,generation of precursor metabolites and energy
geneontology_Biological_Process_noRedundant,multivesicular body sorting pathway
geneontology_Biological_Process_noRedundant,protein polymerization
geneontology_Biological_Process_noRedundant,protein-containing complex disassembly
geneontology_Biological_Process_noRedundant,regulation of supramolecular fiber organization
geneontology_Biological_Process_noRedundant,organelle disassembly
geneontology_Biological_Process_noRedundant,macromolecule deacylation
geneontology_Biological_Process_noRedundant,mitochondrion localization
geneontology_Biological_Process_noRedundant,dicarboxylic acid metabolic process
geneontology_Biological_Process_noRedundant,tricarboxylic acid metabolic process
geneontology_Biological_Process_noRedundant,glucose 6-phosphate metabolic process
geneontology_Biological_Process_noRedundant,lipid catabolic process
geneontology_Biological_Process_noRedundant,tissue migration
geneontology_Biological_Process_noRedundant,cytosolic transport
geneontology_Biological_Process_noRedundant,carbohydrate homeostasis
geneontology_Biological_Process_noRedundant,drug catabolic process
geneontology_Biological_Process_noRedundant,regulation of actin filament-based process
geneontology_Biological_Process_noRedundant,circulatory system process
geneontology_Biological_Process_noRedundant,leukocyte differentiation
geneontology_Biological_Process_noRedundant,regulation of anatomical structure size
geneontology_Biological_Process_noRedundant,receptor metabolic process
geneontology_Biological_Process_noRedundant,heterotypic cell-cell adhesion
geneontology_Biological_Process_noRedundant,cellular aldehyde metabolic process
geneontology_Biological_Process_noRedundant,regulation of protein catabolic process
geneontology_Biological_Process_noRedundant,neutral lipid metabolic process
geneontology_Biological_Process_noRedundant,negative regulation of cell activation
geneontology_Biological_Process_noRedundant,organ or tissue specific immune response
geneontology_Biological_Process_noRedundant,neutrophil mediated immunity
geneontology_Biological_Process_noRedundant,regulation of neurological system process
geneontology_Biological_Process_noRedundant,aminoglycan metabolic process
geneontology_Biological_Process_noRedundant,negative regulation of organelle organization
geneontology_Biological_Process_noRedundant,cell fate commitment
geneontology_Biological_Process_noRedundant,immune response-regulating signaling pathway
geneontology_Biological_Process_noRedundant,regulation of lipid metabolic process
geneontology_Biological_Process_noRedundant,membrane lipid metabolic process
geneontology_Biological_Process_noRedundant,regulation of cytoskeleton organization
geneontology_Biological_Process_noRedundant,process utilizing autophagic mechanism
geneontology_Biological_Process_noRedundant,protein localization to cell surface
geneontology_Biological_Process_noRedundant,peptidyl-asparagine modification
geneontology_Biological_Process_noRedundant,integrin activation
geneontology_Biological_Process_noRedundant,granulocyte activation
geneontology_Biological_Process_noRedundant,cytokine metabolic process
geneontology_Biological_Process_noRedundant,amine metabolic process
geneontology_Biological_Process_noRedundant,mitochondrial transport
geneontology_Biological_Process_noRedundant,cell junction organization
